2002.29	0	159.11
2002.35	66.22	102.59
2002.62	-169.61	88.76
2002.71	179.38	102.8
2002.79	39.72	66.48
2002.87	-74.15	63.97
2002.96	-42.3	65.81
2003.04	-243	67.03
2003.12	-163.73	53.15
2003.2	-233.19	47.54
2003.29	-134.7	47.53
2003.36	-18.94	51.44
2003.54	-129.97	39.64
2003.62	-108.26	41.73
2003.71	-38.78	41.77
2003.79	-72.68	42.02
2003.87	-98.2	42.5
2003.96	-76.7	41.33
2004.02	-213.58	45.71
2004.13	-600.38	41.78
2004.21	-314.89	39.41
2004.29	-405.74	38.89
2004.37	-90.98	39.34
2004.46	-89.88	38.73
2004.54	-322.5	35.11
2004.62	-351.72	36.33
2004.71	-278.59	37.08
2004.79	86.13	34
2004.87	-174.49	36.25
2004.96	-225.6	35.05
2005.04	-316.99	33.57
2005.12	-374.93	35.2
2005.2	-358.97	35.08
2005.29	-272.86	34.55
2005.37	-281.5	35.46
2005.46	-191.01	35.69
2005.54	-119.96	34.71
2005.62	-334.77	34.79
2005.71	-102.96	34.72
2005.79	-115.63	33.98
2005.87	-90.77	33.9
2005.96	-131.86	39.43
2006.04	-310.88	35.13
2006.12	-337.76	35.78
2006.2	-294.35	35.66
2006.29	-303.21	35.91
2006.37	-171.01	36.29
2006.45	-148.04	38.71
2006.54	-188.59	37.73
2006.62	6.51	37.05
2006.71	-3.71	39
2006.79	-66.25	38.3
2006.87	-155.1	38.44
2006.96	-241.1	39.65
2007.04	-449.31	40.14
2007.12	-422.94	39.54
2007.2	-452.62	39.5
2007.29	-349.88	39.6
2007.37	-63.14	39.37
2007.45	-262.08	40.5
2007.54	-289.9	39.22
2007.62	-214.5	41.63
2007.71	-188.82	40.41
2007.79	-365.17	40.72
2007.87	-459.86	41.88
2007.96	-463.3	40.36
2008.04	-709.52	39.93
2008.12	-669.16	41.63
2008.21	-655.97	40.72
2008.29	-511.05	42.78
2008.37	-511.63	41.18
2008.46	-476.51	41.5
2008.54	-757.3	42.08
2008.62	-812.45	41.49
2008.71	-532.44	41.64
2008.79	-530.94	40.39
2008.87	-469.36	41.14
2008.96	-565.27	40.66
2009.04	-676.08	39.95
2009.12	-635.3	40.22
2009.2	-587.24	39.74
2009.29	-572.32	37.38
2009.37	-563.23	37.28
2009.46	-561.75	37.5
2009.54	-538.92	38.12
2009.62	-544.66	35.86
2009.71	-536.41	34.28
2009.79	-540.57	34.56
2009.87	-579.22	33.71
2009.96	-580.83	33.57
2010.04	-841.22	33
2010.12	-666.95	32.63
2010.2	-616.3	34.85
2010.29	-698.7	32.87
2010.37	-720.37	33.73
2010.45	-801.2	40.23
2010.54	-1062.5	37.86
2010.62	-945.17	36.41
2010.71	-831.79	38.56
2010.79	-924.63	40.78
2010.87	-920.51	42.4
2010.96	-783.97	43.83
2011.13	-1026.55	46.19
2011.2	-1080.86	44.67
2011.29	-1131.65	44.37
2011.37	-1010.17	43.55
2011.55	-1029.31	46.74
2011.62	-945.75	44.14
2011.71	-819.77	43.09
2011.79	-906.55	42.43
2011.83	-603.5	43.17
2012	-941.42	43.77
2012.04	-1059.32	42.4
2012.12	-1081.6	44.2
2012.21	-1020.19	42.54
2012.27	-1039.17	50.91
2012.46	-1020.21	45.53
2012.54	-1188.31	43.88
2012.62	-979.89	42.12
2012.7	-728.74	46.1
2012.89	-804.92	47.5
2012.96	-989.01	44.94
2013.04	-1215.15	44.07
2013.12	-1323.72	45.34
2013.3	-1111.77	46.27
2013.37	-988.88	41.52
2013.46	-983.87	42.51
2013.54	-1077.79	41.92
2013.79	-1060.77	43.29
2013.87	-1207.44	41.49
2013.96	-1155.68	40.41
2014.02	-1421.03	46.39
2014.21	-1603.4	35.62
2014.29	-1379.76	36.49
2014.37	-1246.26	36.55
2014.45	-1472.93	38.84
2014.62	-1525.72	36.9
2014.71	-1245.8	35.77
2014.79	-1372.65	34.37
2014.88	-1312.98	33.71
2015.06	-1680.39	37.36
2015.12	-1692.71	43.8
2015.2	-1800.97	31.73
2015.29	-1818.54	33.55
2015.32	-1727.44	36.87
2015.53	-1855.7	39.2
2015.62	-1924.04	36.5
2015.7	-1767.49	38.75
2015.97	-1627.37	38.33
2016.04	-1594.66	36.67
2016.12	-1671.97	35.28
2016.21	-1508.3	38.56
2016.38	-1747.09	43.8
2016.46	-1595.18	44.09
2016.54	-1721.31	46.68
2016.64	-1747.16	57.63
2016.91	-1405.43	92.2
2016.98	-1813.63	99.52
2017.06	-1915.45	106.25
2017.25	-1854.7	132.28
2017.31	-1262.9	149.1
2017.36	-1648.82	155.03
2017.44	-1869.99	174.8
